Parameter,Value
Data Source Type,FILE DATA SIMULATION
Historical File,C:/Users/user/data/nifty_ticks_20251012.csv
Data Warning,"Uses HISTORICAL data, not live market prices"
Symbol,NIFTY2510524500CE
Exchange,NFO
Product Type,INTRADAY
Lot Size,50
Tick Size,0.05
Session Start,09:15
Session End,15:30
Auto Stop,Enabled
Max Loss/Day,2500.0
Initial Capital,200000.0
Max Trades/Day,25
Base Stop Loss,20.0 points
Take Profit Levels,4 levels
TP Points,"[15.0, 30.0, 50.0, 100.0]"
TP Percentages,"[0.4, 0.3, 0.2, 0.1]"
Trail Stop,Enabled
Trail Activation,10.0 points
Trail Distance,5.0 points
Risk per Trade,1.5%
Commission,0.03%
Strategy Version,1
Green Bars Required,5
EMA Crossover Enabled,True
Fast EMA,9
Slow EMA,21
MACD Enabled,True
MACD Fast Period,12
MACD Slow Period,26
RSI Filter Enabled,True
RSI Period,14
RSI Overbought,70
VWAP Enabled,True
HTF Trend Enabled,True
HTF Timeframe,1H
Enabled Indicators,"EMA Crossover: Fast=9, Slow=21; MACD Signal; RSI Filter; VWAP; HTF Trend; Consecutive Green: 5 bars required"
Mode,File Simulation
File Path,C:/Users/user/data/nifty_ticks_20251012.csv
Status,Historical data replay
Start Time,2025-10-12 14:30:00
End Time,2025-10-12 15:45:00
